,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Relative
0,,,,,,Total,Dirty,Dirty,Clean,Clean,Clean,Difference
1,Name,Split,Metric,N,Acc/F1/BLEU,Count,Acc/F1/BLEU,Count,Acc/F1/BLEU,Count,Percentage,Clean vs All
2,Quac,dev,f1,13,44.3,7353,44.3,7315,54.1,38,1%,20%
3,SQuADv2,dev,f1,13,69.8,11873,69.9,11136,68.4,737,6%,-2%
4,DROP,dev,f1,13,36.5,9536,37.0,8898,29.5,638,7%,-21%
5,Symbol Insertion,dev,acc,7,66.9,10000,66.8,8565,67.1,1435,14%,0%
6,CoQa,dev,f1,13,86.0,7983,85.3,5107,87.1,2876,36%,1%
7,ReCoRD,dev,acc,13,89.5,10000,90.3,6110,88.2,3890,39%,-1%
8,Winograd,test,acc,9,88.6,273,90.2,164,86.2,109,40%,-3%
9,BoolQ,dev,acc,13,76.0,3270,75.8,1955,76.3,1315,40%,0%
10,MultiRC,dev,acc,13,74.2,953,73.4,558,75.3,395,41%,1%
11,RACE-h,test,acc,13,46.8,3498,47.0,1580,46.7,1918,55%,0%
12,LAMBADA,test,acc,13,86.4,5153,86.9,2209,86.0,2944,57%,0%
13,LAMBADA (No Blanks),test,acc,13,77.8,5153,78.5,2209,77.2,2944,57%,-1%
14,WSC,dev,acc,13,76.9,104,73.8,42,79.0,62,60%,3%
15,PIQA,dev,acc,8,82.3,1838,89.9,526,79.3,1312,71%,-4%
16,RACE-m,test,acc,13,58.5,1436,53.0,366,60.4,1070,75%,3%
17,De?En 16,test,bleu-sb,12,43.0,2999,47.4,739,40.8,2260,75%,-5%
18,En?De 16,test,bleu-sb,12,30.9,2999,32.6,739,29.9,2260,75%,-3%
19,En?Ro 16,test,bleu-sb,12,25.8,1999,24.9,423,26.1,1576,79%,1%
20,Ro?En 16,test,bleu-sb,12,41.3,1999,40.4,423,41.6,1576,79%,1%
21,WebQs,test,acc,8,41.5,2032,41.6,428,41.5,1604,79%,0%
22,ANLI R1,test,acc,13,36.8,1000,40.5,200,35.9,800,80%,-3%
23,ANLI R2,test,acc,13,34.0,1000,29.4,177,35.0,823,82%,3%
24,TriviaQA,dev,acc,10,71.2,7993,70.8,1390,71.3,6603,83%,0%
25,ANLI R3,test,acc,13,40.2,1200,38.3,196,40.5,1004,84%,1%
26,En?Fr 14,test,bleu-sb,13,39.9,3003,38.3,411,40.3,2592,86%,1%
27,Fr?En 14,test,bleu-sb,13,41.4,3003,40.9,411,41.4,2592,86%,0%
28,WiC,dev,acc,13,51.4,638,53.1,49,51.3,589,92%,0%
29,RTE,dev,acc,13,71.5,277,71.4,21,71.5,256,92%,0%
30,CB,dev,acc,13,80.4,56,100.0,4,78.8,52,93%,-2%
31,Anagrams 2,dev,acc,2,40.2,10000,76.2,705,37.4,9295,93%,-7%
32,Reversed Words,dev,acc,2,0.4,10000,1.5,660,0.3,9340,93%,-26%
33,OpenBookQA,test,acc,8,65.4,500,58.1,31,65.9,469,94%,1%
34,ARC (Easy),test,acc,11,70.1,2268,77.5,89,69.8,2179,96%,0%
35,Anagrams 1,dev,acc,2,15.0,10000,49.8,327,13.8,9673,97%,-8%
36,COPA,dev,acc,9,93.0,100,100.0,3,92.8,97,97%,0%
37,ARC (Challenge),test,acc,12,51.6,1144,45.2,31,51.8,1113,97%,0%
38,HellaSwag,dev,acc,13,79.3,10042,86.2,152,79.2,9890,98%,0%
39,NQs,test,acc,11,29.9,3610,32.7,52,29.8,3558,99%,0%
40,Cycled Letters,dev,acc,2,38.6,10000,20.5,73,38.7,9927,99%,0%
41,SAT Analogies,dev,acc,9,65.8,374,100.0,2,65.6,372,99%,0%
42,StoryCloze,test,acc,13,87.7,1871,100.0,2,87.6,1869,100%,0%
43,Winogrande,dev,acc,13,77.7,1267,-,0,77.7,1267,100%,0%
