,Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Zero-Shot,Unnamed: 5,One-Shot,Unnamed: 6,Few-Shot,Unnamed: 7,Unnamed: 8
0,,,,Fine-tune,,,,,,,,175B
1,Name Metric,,Split,SOTA,K,Small Med Large XL 2.7B 6.7B 13B 175B,,Small Med Large XL 2.7B 6.7B 13B 175B,,Small Med Large XL 2.7B 6.7B 13B 175B,,(test server)
2,HellaSwag acc,,dev,85.6,20,33.7 43.6 51.0 54.7 62.8 67.4 70.9 78.9,,33.0 42.9 50.5 53.5 61.9 66.5 70.0 78.1,,33.5 43.1 51.3 54.9 62.9 67.3 71.3 79.3,,
3,LAMBADA acc,,test,68.0,15,42.7 54.3 60.4 63.6 67.1 70.3 72.5 76.2,,22.0 47.1 52.6 58.3 61.1 65.4 69.0 72.5,,22.0 40.4 63.2 57.0 78.1 79.1 81.3 86.4,,
4,LAMBADA ppl,,test,8.63,15,18.6 9.09 6.53 5.44 4.60 4.00 3.56 3.00,,165.0 11.6 8.29 6.46 5.53 4.61 4.06 3.35,,165.0 27.6 6.63 7.45 2.89 2.56 2.56 1.92,,
5,StoryCloze acc,,test,91.8,70,63.3 68.5 72.4 73.4 77.2 77.7 79.5 83.2,,62.3 68.7 72.3 74.2 77.3 78.7 79.7 84.7,,62.3 70.2 73.9 76.1 80.2 81.2 83.0 87.7,,
6,NQs acc,,test,44.5,64,0.64 1.75 2.71 4.40 6.01 5.79 7.84 14.6,,1.19 3.07 4.79 5.43 8.73 9.78 13.7 23.0,,1.72 4.46 7.89 9.72 13.2 17.0 21.0 29.9,,
7,TriviaQA acc,,dev,68.0,64,4.15 7.61 14.0 19.7 31.3 38.7 41.8 64.3,,4.19 12.9 20.5 26.5 35.9 44.4 51.3 68.0,,6.96 16.3 26.5 32.1 42.3 51.6 57.5 71.2,,71.2
8,WebQs acc,,test,45.5,64,1.77 3.20 4.33 4.63 7.92 7.73 8.22 14.4,,2.56 6.20 8.51 9.15 14.5 15.1 19.0 25.3,,5.46 12.6 15.9 19.6 24.8 27.7 33.5 41.5,,
9,Ro?En 16 BLEU-mb,,test,39.9,64,2.08 2.71 3.09 3.15 16.3 8.34 20.2 19.9,,0.55 15.4 23.0 26.3 30.6 33.2 35.6 38.6,,1.25 20.7 25.8 29.2 33.1 34.8 37.0 39.5,,
10,Ro?En 16 BLEU-sb,,test,,64,2.39 3.08 3.49 3.56 16.8 8.75 20.8 20.9,,0.65 15.9 23.6 26.8 31.3 34.2 36.7 40.0,,1.40 21.3 26.6 30.1 34.3 36.2 38.4 41.3,,
11,En?Ro 16 BLEU-mb,,test,38.5,64,2.14 2.65 2.53 2.50 3.46 4.24 5.32 14.1,,0.35 3.30 7.89 8.72 13.2 15.1 17.3 20.6,,1.25 5.90 9.33 10.7 14.3 16.3 18.0 21.0,,
12,En?Ro 16 BLEU-sb,,test,,64,2.61 3.11 3.07 3.09 4.26 5.31 6.43 18.0,,0.55 3.90 9.15 10.3 15.7 18.2 20.8 24.9,,1.64 7.40 10.9 12.9 17.2 19.6 21.8 25.8,,
13,Fr?En 14 BLEU-mb,,test,35.0,64,1.81 2.53 3.47 3.13 20.6 15.1 21.8 21.2,,1.28 15.9 23.7 26.3 29.0 30.5 30.2 33.7,,4.98 25.5 28.5 31.1 33.7 34.9 36.6 39.2,,
14,Fr?En 14 BLEU-sb,,test,,64,2.29 2.99 3.90 3.60 21.2 15.5 22.4 21.9,,1.50 16.3 24.4 27.0 30.0 31.6 31.4 35.6,,5.30 26.2 29.5 32.2 35.1 36.4 38.3 41.4,,
15,En?Fr 14 BLEU-mb,,test,45.6,64,1.74 2.16 2.73 2.15 15.1 8.82 12.0 25.2,,0.49 8.00 14.8 15.9 20.3 23.3 24.9 28.3,,4.08 14.5 19.3 21.5 24.9 27.3 29.5 32.6,,
16,En?Fr 14 BLEU-sb,,test,45.9,64,2.44 2.75 3.54 2.82 19.3 11.4 15.3 31.3,,0.81 10.0 18.2 19.3 24.7 28.3 30.1 34.1,,5.31 18.0 23.6 26.1 30.3 33.3 35.5 39.9,,
17,De?En 16 BLEU-mb,,test,40.2,64,2.06 2.87 3.41 3.63 21.5 17.3 23.0 27.2,,0.83 16.2 22.5 24.7 28.2 30.7 33.0 30.4,,3.25 22.7 26.2 29.2 32.7 34.8 37.3 40.6,,
18,De?En 16 BLEU-sb,,test,,64,2.39 3.27 3.85 4.04 22.5 18.2 24.4 28.6,,0.93 17.1 23.4 25.8 29.2 31.9 34.5 32.1,,3.60 23.8 27.5 30.5 34.1 36.5 39.1 43.0,,
19,En?De 16 BLEU-mb,,test,41.2,64,1.70 2.27 2.31 2.43 12.9 8.66 10.4 24.6,,0.50 7.00 12.9 13.1 18.3 20.9 22.5 26.2,,3.42 12.3 15.4 17.1 20.9 23.0 26.6 29.7,,
20,En?De 16 BLEU-sb,,test,41.2,64,2.09 2.65 2.75 2.92 13.7 9.36 11.0 25.3,,0.54 7.40 13.4 13.4 18.8 21.7 23.3 27.3,,3.78 12.9 16.1 17.7 21.7 24.1 27.7 30.9,,
21,Winograd acc,,test,93.8,7,66.3 72.9 74.7 76.9 82.4 85.7 87.9 88.3,,63.4 68.5 72.9 76.9 82.4 84.6 86.1 89.7,,63.4 67.4 73.6 76.9 84.3 85.4 82.4 88.6,,
22,Winogrande acc,,dev,84.6,50,52.0 52.1 57.4 58.7 62.3 64.5 67.9 70.2,,51.3 53.0 58.3 59.1 61.7 65.8 66.9 73.2,,51.3 52.6 57.5 59.1 62.6 67.4 70.0 77.7,,
23,PIQA acc,,dev,77.1,50,64.6 70.2 72.9 75.1 75.6 78.0 78.5 81.0,,64.3 69.3 71.8 74.4 74.3 76.3 77.8 80.5,,64.3 69.4 72.0 74.3 75.4 77.8 79.9 82.3,,82.8
24,ARC (Challenge) acc,,test,78.5,50,26.6 29.5 31.8 35.5 38.0 41.4 43.7 51.4,,25.5 30.2 31.6 36.4 38.4 41.5 43.1 53.2,,25.5 28.4 32.3 36.7 39.5 43.7 44.8 51.5,,
25,ARC (Easy) acc,,test,92.0,50,43.6 46.5 53.0 53.8 58.2 60.2 63.8 68.8,,42.7 48.2 54.6 55.9 60.3 62.6 66.8 71.2,,42.7 51.0 58.1 59.1 62.1 65.8 69.1 70.1,,
26,OpenBookQA acc,,test,87.2,100,35.6 43.2 45.2 46.8 53.0 50.4 55.6 57.6,,37.0 39.8 46.2 46.4 53.4 53.0 55.8 58.8,,37.0 43.6 48.0 50.6 55.6 55.2 60.8 65.4,,
27,Quac f1,,dev,74.4,5,21.2 26.8 31.0 30.1 34.7 36.1 38.4 41.5,,21.1 26.9 31.9 32.3 37.4 39.0 40.6 43.4,,21.6 27.6 32.9 34.2 38.2 39.9 40.9 44.3,,
28,RACE-h acc,,test,90.0,10,35.2 37.9 40.1 40.9 42.4 44.1 44.6 45.5,,34.3 37.7 40.0 42.0 43.8 44.3 44.6 45.9,,34.3 37.0 40.4 41.4 42.3 44.7 45.1 46.8,,
29,RACE-m acc,,test,93.1,10,42.1 47.2 52.1 52.3 54.7 54.4 56.7 58.4,,42.3 47.3 51.7 55.2 56.1 54.7 56.9 57.4,,42.3 47.0 52.7 53.0 55.6 55.4 58.1 58.1,,
